tripid,loc_from,searches,searches_got_estimate,searches_for_quotes,searches_got_quotes,customer_not_cancelled,driver_not_cancelled,otp_entered,end_ride
224,20,1,1,1,1,1,1,1,1
225,35,1,1,1,1,1,1,1,1
226,22,1,1,1,1,1,1,1,1
227,11,1,1,1,1,1,1,1,1
228,3,1,1,1,1,1,1,1,1
229,16,1,1,1,1,1,1,1,1
230,16,1,1,1,1,1,1,1,1
231,34,1,1,1,1,1,1,1,1
232,6,1,1,1,1,1,1,1,1
233,29,1,1,1,1,1,1,1,1
234,25,1,1,1,1,1,1,1,1
235,13,1,1,1,1,1,1,1,1
236,12,1,1,1,1,1,1,1,1
237,15,1,1,1,1,1,1,1,1
238,9,1,1,1,1,1,1,1,1
239,25,1,1,1,1,1,1,1,1
240,14,1,1,1,1,1,1,1,1
241,21,1,1,1,1,1,1,1,1
242,22,1,1,1,1,1,1,1,1
243,37,1,1,1,1,1,1,1,1
244,33,1,1,1,1,1,1,1,1
245,36,1,1,1,1,1,1,1,1
246,15,1,1,1,1,1,1,1,1
247,5,1,1,1,1,1,1,1,1
248,26,1,1,1,1,1,1,1,1
249,35,1,1,1,1,1,1,1,1
250,17,1,1,1,1,1,1,1,1
251,35,1,1,1,1,1,1,1,1
252,1,1,1,1,1,1,1,1,1
253,25,1,1,1,1,1,1,1,1
254,11,1,1,1,1,1,1,1,1
255,36,1,1,1,1,1,1,1,1
256,4,1,1,1,1,1,1,1,1
257,18,1,1,1,1,1,1,1,1
258,27,1,1,1,1,1,1,1,1
259,6,1,1,1,1,1,1,1,1
260,36,1,1,1,1,1,1,1,1
261,35,1,1,1,1,1,1,1,1
262,28,1,1,1,1,1,1,1,1
263,17,1,1,1,1,1,1,1,1
264,30,1,1,1,1,1,1,1,1
265,17,1,1,1,1,1,1,1,1
266,4,1,1,1,1,1,1,1,1
267,37,1,1,1,1,1,1,1,1
268,30,1,1,1,1,1,1,1,1
269,12,1,1,1,1,1,1,1,1
270,17,1,1,1,1,1,1,1,1
271,27,1,1,1,1,1,1,1,1
272,18,1,1,1,1,1,1,1,1
273,16,1,1,1,1,1,1,1,1
274,21,1,1,1,1,1,1,1,1
275,23,1,1,1,1,1,1,1,1
276,25,1,1,1,1,1,1,1,1
277,31,1,1,1,1,1,1,1,1
278,24,1,1,1,1,1,1,1,1
279,16,1,1,1,1,1,1,1,1
280,35,1,1,1,1,1,1,1,1
281,12,1,1,1,1,1,1,1,1
282,36,1,1,1,1,1,1,1,1
283,5,1,1,1,1,1,1,1,1
284,18,1,1,1,1,1,1,1,1
285,19,1,1,1,1,1,1,1,1
286,24,1,1,1,1,1,1,1,1
287,16,1,1,1,1,1,1,1,1
288,15,1,1,1,1,1,1,1,1
289,15,1,1,1,1,1,1,1,1
290,10,1,1,1,1,1,1,1,1
291,33,1,1,1,1,1,1,1,1
292,28,1,1,1,1,1,1,1,1
293,17,1,1,1,1,1,1,1,1
294,35,1,1,1,1,1,1,1,1
295,37,1,1,1,1,1,1,1,1
296,12,1,1,1,1,1,1,1,1
297,11,1,1,1,1,1,1,1,1
298,24,1,1,1,1,1,1,1,1
299,5,1,1,1,1,1,1,1,1
300,21,1,1,1,1,1,1,1,1
301,18,1,1,1,1,1,1,1,1
302,21,1,1,1,1,1,1,1,1
303,30,1,1,1,1,1,1,1,1
304,23,1,1,1,1,1,1,1,1
305,6,1,1,1,1,1,1,1,1
306,26,1,1,1,1,1,1,1,1
307,10,1,1,1,1,1,1,1,1
308,1,1,1,1,1,1,1,1,1
309,13,1,1,1,1,1,1,1,1
310,2,1,1,1,1,1,1,1,1
311,6,1,1,1,1,1,1,1,1
312,37,1,1,1,1,1,1,1,1
313,9,1,1,1,1,1,1,1,1
314,22,1,1,1,1,1,1,1,1
315,16,1,1,1,1,1,1,1,1
316,8,1,1,1,1,1,1,1,1
317,16,1,1,1,1,1,1,1,1
318,24,1,1,1,1,1,1,1,1
319,31,1,1,1,1,1,1,1,1
320,27,1,1,1,1,1,1,1,1
321,6,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1
323,31,1,1,1,1,1,1,1,1
324,23,1,1,1,1,1,1,1,1
325,17,1,1,1,1,1,1,1,1
326,9,1,1,1,1,1,1,1,1
327,4,1,1,1,1,1,1,1,1
328,28,1,1,1,1,1,1,1,1
329,16,1,1,1,1,1,1,1,1
330,8,1,1,1,1,1,1,1,1
331,16,1,1,1,1,1,1,1,1
332,30,1,1,1,1,1,1,1,1
333,32,1,1,1,1,1,1,1,1
334,20,1,1,1,1,1,1,1,1
335,32,1,1,1,1,1,1,1,1
336,31,1,1,1,1,1,1,1,1
337,23,1,1,1,1,1,1,1,1
338,26,1,1,1,1,1,1,1,1
339,3,1,1,1,1,1,1,1,1
340,28,1,1,1,1,1,1,1,1
341,36,1,1,1,1,1,1,1,1
342,26,1,1,1,1,1,1,1,1
343,6,1,1,1,1,1,1,1,1
344,25,1,1,1,1,1,1,1,1
345,14,1,1,1,1,1,1,1,1
346,21,1,1,1,1,1,1,1,1
347,32,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1,1
349,10,1,1,1,1,1,1,1,1
350,3,1,1,1,1,1,1,1,1
351,29,1,1,1,1,1,1,1,1
352,1,1,1,1,1,1,1,1,1
353,2,1,1,1,1,1,1,1,1
354,35,1,1,1,1,1,1,1,1
355,29,1,1,1,1,1,1,1,1
356,14,1,1,1,1,1,1,1,1
357,30,1,1,1,1,1,1,1,1
358,23,1,1,1,1,1,1,1,1
359,19,1,1,1,1,1,1,1,1
360,35,1,1,1,1,1,1,1,1
361,9,1,1,1,1,1,1,1,1
362,16,1,1,1,1,1,1,1,1
363,37,1,1,1,1,1,1,1,1
364,33,1,1,1,1,1,1,1,1
365,25,1,1,1,1,1,1,1,1
366,8,1,1,1,1,1,1,1,1
367,23,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1
369,36,1,1,1,1,1,1,1,1
370,5,1,1,1,1,1,1,1,1
371,6,1,1,1,1,1,1,1,1
372,2,1,1,1,1,1,1,1,1
373,10,1,1,1,1,1,1,1,1
374,29,1,1,1,1,1,1,1,1
375,30,1,1,1,1,1,1,1,1
376,18,1,1,1,1,1,1,1,1
377,31,1,1,1,1,1,1,1,1
378,16,1,1,1,1,1,1,1,1
379,24,1,1,1,1,1,1,1,1
380,27,1,1,1,1,1,1,1,1
381,35,1,1,1,1,1,1,1,1
382,26,1,1,1,1,1,1,1,1
383,35,1,1,1,1,1,1,1,1
384,24,1,1,1,1,1,1,1,1
385,9,1,1,1,1,1,1,1,1
386,10,1,1,1,1,1,1,1,1
387,34,1,1,1,1,1,1,1,1
388,28,1,1,1,1,1,1,1,1
389,2,1,1,1,1,1,1,1,1
390,25,1,1,1,1,1,1,1,1
391,4,1,1,1,1,1,1,1,1
392,18,1,1,1,1,1,1,1,1
393,28,1,1,1,1,1,1,1,1
394,19,1,1,1,1,1,1,1,1
395,22,1,1,1,1,1,1,1,1
396,28,1,1,1,1,1,1,1,1
397,8,1,1,1,1,1,1,1,1
398,4,1,1,1,1,1,1,1,1
399,9,1,1,1,1,1,1,1,1
400,22,1,1,1,1,1,1,1,1
401,12,1,1,1,1,1,1,1,1
402,4,1,1,1,1,1,1,1,1
403,16,1,1,1,1,1,1,1,1
404,27,1,1,1,1,1,1,1,1
405,28,1,1,1,1,1,1,1,1
406,11,1,1,1,1,1,1,1,1
407,20,1,1,1,1,1,1,1,1
408,36,1,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1,1,1
410,6,1,1,1,1,1,1,1,1
411,18,1,1,1,1,1,1,1,1
412,37,1,1,1,1,1,1,1,1
413,34,1,1,1,1,1,1,1,1
414,12,1,1,1,1,1,1,1,1
415,6,1,1,1,1,1,1,1,1
416,35,1,1,1,1,1,1,1,1
417,9,1,1,1,1,1,1,1,1
418,18,1,1,1,1,1,1,1,1
419,14,1,1,1,1,1,1,1,1
420,33,1,1,1,1,1,1,1,1
421,36,1,1,1,1,1,1,1,1
422,9,1,1,1,1,1,1,1,1
423,32,1,1,1,1,1,1,1,1
424,20,1,1,1,1,1,1,1,1
425,12,1,1,1,1,1,1,1,1
426,34,1,1,1,1,1,1,1,1
427,8,1,1,1,1,1,1,1,1
428,19,1,1,1,1,1,1,1,1
429,7,1,1,1,1,1,1,1,1
430,37,1,1,1,1,1,1,1,1
431,5,1,1,1,1,1,1,1,1
432,20,1,1,1,1,1,1,1,1
433,9,1,1,1,1,1,1,1,1
434,24,1,1,1,1,1,1,1,1
435,36,1,1,1,1,1,1,1,1
436,17,1,1,1,1,1,1,1,1
437,17,1,1,1,1,1,1,1,1
438,28,1,1,1,1,1,1,1,1
439,6,1,1,1,1,1,1,1,1
440,12,1,1,1,1,1,1,1,1
441,22,1,1,1,1,1,1,1,1
442,33,1,1,1,1,1,1,1,1
443,6,1,1,1,1,1,1,1,1
444,31,1,1,1,1,1,1,1,1
445,4,1,1,1,1,1,1,1,1
446,15,1,1,1,1,1,1,1,1
447,12,1,1,1,1,1,1,1,1
448,17,1,1,1,1,1,1,1,1
449,20,1,1,1,1,1,1,1,1
450,15,1,1,1,1,1,1,1,1
451,6,1,1,1,1,1,1,1,1
452,9,1,1,1,1,1,1,1,1
453,19,1,1,1,1,1,1,1,1
454,8,1,1,1,1,1,1,1,1
455,37,1,1,1,1,1,1,1,1
456,19,1,1,1,1,1,1,1,1
457,13,1,1,1,1,1,1,1,1
458,7,1,1,1,1,1,1,1,1
459,28,1,1,1,1,1,1,1,1
460,1,1,1,1,1,1,1,1,1
461,4,1,1,1,1,1,1,1,1
462,32,1,1,1,1,1,1,1,1
463,34,1,1,1,1,1,1,1,1
464,21,1,1,1,1,1,1,1,1
465,37,1,1,1,1,1,1,1,1
466,13,1,1,1,1,1,1,1,1
467,36,1,1,1,1,1,1,1,1
468,30,1,1,1,1,1,1,1,1
469,28,1,1,1,1,1,1,1,1
470,8,1,1,1,1,1,1,1,1
471,21,1,1,1,1,1,1,1,1
472,31,1,1,1,1,1,1,1,1
473,26,1,1,1,1,1,1,1,1
474,6,1,1,1,1,1,1,1,1
475,21,1,1,1,1,1,1,1,1
476,6,1,1,1,1,1,1,1,1
477,22,1,1,1,1,1,1,1,1
478,33,1,1,1,1,1,1,1,1
479,3,1,1,1,1,1,1,1,1
480,2,1,1,1,1,1,1,1,1
481,19,1,1,1,1,1,1,1,1
482,35,1,1,1,1,1,1,1,1
483,6,1,1,1,1,1,1,1,1
484,12,1,1,1,1,1,1,1,1
485,11,1,1,1,1,1,1,1,1
486,22,1,1,1,1,1,1,1,1
487,14,1,1,1,1,1,1,1,1
488,25,1,1,1,1,1,1,1,1
489,18,1,1,1,1,1,1,1,1
490,5,1,1,1,1,1,1,1,1
491,23,1,1,1,1,1,1,1,1
492,1,1,1,1,1,1,1,1,1
493,12,1,1,1,1,1,1,1,1
494,23,1,1,1,1,1,1,1,1
495,12,1,1,1,1,1,1,1,1
496,32,1,1,1,1,1,1,1,1
497,24,1,1,1,1,1,1,1,1
498,16,1,1,1,1,1,1,1,1
499,35,1,1,1,1,1,1,1,1
500,19,1,1,1,1,1,1,1,1
501,21,1,1,1,1,1,1,1,1
502,32,1,1,1,1,1,1,1,1
503,31,1,1,1,1,1,1,1,1
504,16,1,1,1,1,1,1,1,1
505,4,1,1,1,1,1,1,1,1
506,15,1,1,1,1,1,1,1,1
507,12,1,1,1,1,1,1,1,1
508,21,1,1,1,1,1,1,1,1
509,3,1,1,1,1,1,1,1,1
510,4,1,1,1,1,1,1,1,1
511,19,1,1,1,1,1,1,1,1
512,3,1,1,1,1,1,1,1,1
513,17,1,1,1,1,1,1,1,1
514,7,1,1,1,1,1,1,1,1
515,35,1,1,1,1,1,1,1,1
516,3,1,1,1,1,1,1,1,1
517,21,1,1,1,1,1,1,1,1
518,18,1,1,1,1,1,1,1,1
519,17,1,1,1,1,1,1,1,1
520,11,1,1,1,1,1,1,1,1
521,27,1,1,1,1,1,1,1,1
522,15,1,1,1,1,1,1,1,1
523,7,1,1,1,1,1,1,1,1
524,32,1,1,1,1,1,1,1,1
525,7,1,1,1,1,1,1,1,1
526,18,1,1,1,1,1,1,1,1
527,13,1,1,1,1,1,1,1,1
528,19,1,1,1,1,1,1,1,1
529,2,1,1,1,1,1,1,1,1
530,27,1,1,1,1,1,1,1,1
531,20,1,1,1,1,1,1,1,1
532,12,1,1,1,1,1,1,1,1
533,7,1,1,1,1,1,1,1,1
534,16,1,1,1,1,1,1,1,1
535,35,1,1,1,1,1,1,1,1
536,35,1,1,1,1,1,1,1,1
537,11,1,1,1,1,1,1,1,1
538,16,1,1,1,1,1,1,1,1
539,25,1,1,1,1,1,1,1,1
540,32,1,1,1,1,1,1,1,1
541,11,1,1,1,1,1,1,1,1
542,36,1,1,1,1,1,1,1,1
543,19,1,1,1,1,1,1,1,1
544,22,1,1,1,1,1,1,1,1
545,20,1,1,1,1,1,1,1,1
546,28,1,1,1,1,1,1,1,1
547,21,1,1,1,1,1,1,1,1
548,37,1,1,1,1,1,1,1,1
549,28,1,1,1,1,1,1,1,1
550,23,1,1,1,1,1,1,1,1
551,33,1,1,1,1,1,1,1,1
552,13,1,1,1,1,1,1,1,1
553,6,1,1,1,1,1,1,1,1
554,3,1,1,1,1,1,1,1,1
555,7,1,1,1,1,1,1,1,1
556,27,1,1,1,1,1,1,1,1
557,13,1,1,1,1,1,1,1,1
558,16,1,1,1,1,1,1,1,1
559,21,1,1,1,1,1,1,1,1
560,8,1,1,1,1,1,1,1,1
561,14,1,1,1,1,1,1,1,1
562,25,1,1,1,1,1,1,1,1
563,23,1,1,1,1,1,1,1,1
564,7,1,1,1,1,1,1,1,1
565,6,1,1,1,1,1,1,1,1
566,31,1,1,1,1,1,1,1,1
567,24,1,1,1,1,1,1,1,1
568,15,1,1,1,1,1,1,1,1
569,29,1,1,1,1,1,1,1,1
570,10,1,1,1,1,1,1,1,1
571,21,1,1,1,1,1,1,1,1
572,14,1,1,1,1,1,1,1,1
573,7,1,1,1,1,1,1,1,1
574,23,1,1,1,1,1,1,1,1
575,25,1,1,1,1,1,1,1,1
576,6,1,1,1,1,1,1,1,1
577,29,1,1,1,1,1,1,1,1
578,11,1,1,1,1,1,1,1,1
579,33,1,1,1,1,1,1,1,1
580,35,1,1,1,1,1,1,1,1
581,32,1,1,1,1,1,1,1,1
582,36,1,1,1,1,1,1,1,1
583,22,1,1,1,1,1,1,1,1
584,15,1,1,1,1,1,1,1,1
585,1,1,1,1,1,1,1,1,1
586,30,1,1,1,1,1,1,1,1
587,2,1,1,1,1,1,1,1,1
588,32,1,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1,1,1
590,27,1,1,1,1,1,1,1,1
591,31,1,1,1,1,1,1,1,1
592,24,1,1,1,1,1,1,1,1
593,23,1,1,1,1,1,1,1,1
594,10,1,1,1,1,1,1,1,1
595,5,1,1,1,1,1,1,1,1
596,11,1,1,1,1,1,1,1,1
597,18,1,1,1,1,1,1,1,1
598,21,1,1,1,1,1,1,1,1
599,14,1,1,1,1,1,1,1,1
600,7,1,1,1,1,1,1,1,1
601,28,1,1,1,1,1,1,1,1
602,14,1,1,1,1,1,1,1,1
603,35,1,1,1,1,1,1,1,1
604,31,1,1,1,1,1,1,1,1
605,33,1,1,1,1,1,1,1,1
606,11,1,1,1,1,1,1,1,1
607,6,1,1,1,1,1,1,1,1
608,29,1,1,1,1,1,1,1,1
609,32,1,1,1,1,1,1,1,1
610,7,1,1,1,1,1,1,1,1
611,6,1,1,1,1,1,1,1,1
612,16,1,1,1,1,1,1,1,1
613,16,1,1,1,1,1,1,1,1
614,13,1,1,1,1,1,1,1,1
615,15,1,1,1,1,1,1,1,1
616,37,1,1,1,1,1,1,1,1
617,14,1,1,1,1,1,1,1,1
618,31,1,1,1,1,1,1,1,1
619,31,1,1,1,1,1,1,1,1
620,17,1,1,1,1,1,1,1,1
621,11,1,1,1,1,1,1,1,1
622,31,1,1,1,1,1,1,1,1
623,17,1,1,1,1,1,1,1,1
624,6,1,1,1,1,1,1,1,1
625,20,1,1,1,1,1,1,1,1
626,25,1,1,1,1,1,1,1,1
627,13,1,1,1,1,1,1,1,1
628,10,1,1,1,1,1,1,1,1
629,14,1,1,1,1,1,1,1,1
630,8,1,1,1,1,1,1,1,1
631,13,1,1,1,1,1,1,1,1
632,10,1,1,1,1,1,1,1,1
633,9,1,1,1,1,1,1,1,1
634,22,1,1,1,1,1,1,1,1
635,26,1,1,1,1,1,1,1,1
636,2,1,1,1,1,1,1,1,1
637,3,1,1,1,1,1,1,1,1
638,19,1,1,1,1,1,1,1,1
639,16,1,1,1,1,1,1,1,1
640,5,1,1,1,1,1,1,1,1
641,3,1,1,1,1,1,1,1,1
642,5,1,1,1,1,1,1,1,1
643,17,1,1,1,1,1,1,1,1
644,10,1,1,1,1,1,1,1,1
645,7,1,1,1,1,1,1,1,1
646,14,1,1,1,1,1,1,1,1
647,13,1,1,1,1,1,1,1,1
648,31,1,1,1,1,1,1,1,1
649,4,1,1,1,1,1,1,1,1
650,28,1,1,1,1,1,1,1,1
651,12,1,1,1,1,1,1,1,1
652,35,1,1,1,1,1,1,1,1
653,5,1,1,1,1,1,1,1,1
654,33,1,1,1,1,1,1,1,1
655,20,1,1,1,1,1,1,1,1
656,19,1,1,1,1,1,1,1,1
657,28,1,1,1,1,1,1,1,1
658,12,1,1,1,1,1,1,1,1
659,29,1,1,1,1,1,1,1,1
660,28,1,1,1,1,1,1,1,1
661,25,1,1,1,1,1,1,1,1
662,13,1,1,1,1,1,1,1,1
663,31,1,1,1,1,1,1,1,1
664,15,1,1,1,1,1,1,1,1
665,24,1,1,1,1,1,1,1,1
666,34,1,1,1,1,1,1,1,1
667,24,1,1,1,1,1,1,1,1
668,6,1,1,1,1,1,1,1,1
669,18,1,1,1,1,1,1,1,1
670,21,1,1,1,1,1,1,1,1
671,21,1,1,1,1,1,1,1,1
672,7,1,1,1,1,1,1,1,1
673,17,1,1,1,1,1,1,1,1
674,25,1,1,1,1,1,1,1,1
675,8,1,1,1,1,1,1,1,1
676,37,1,1,1,1,1,1,1,1
677,6,1,1,1,1,1,1,1,1
678,13,1,1,1,1,1,1,1,1
679,18,1,1,1,1,1,1,1,1
680,4,1,1,1,1,1,1,1,1
681,13,1,1,1,1,1,1,1,1
682,7,1,1,1,1,1,1,1,1
683,16,1,1,1,1,1,1,1,1
684,30,1,1,1,1,1,1,1,1
685,35,1,1,1,1,1,1,1,1
686,25,1,1,1,1,1,1,1,1
687,13,1,1,1,1,1,1,1,1
688,14,1,1,1,1,1,1,1,1
689,18,1,1,1,1,1,1,1,1
690,21,1,1,1,1,1,1,1,1
691,13,1,1,1,1,1,1,1,1
692,2,1,1,1,1,1,1,1,1
693,33,1,1,1,1,1,1,1,1
